PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
6NjHJ,r3k2r/1pp2ppp/p1p2P2/6N1/4P1q1/2N4b/PPP2P1b/R1BQ1RK1 w kq - 2 13,g1h2 g4g2,867,76,107,125,mate,https://lichess.org/ekLTs7s3#25,Ruy_Lopez Ruy_Lopez_Exchange_Variation
002GQ,5rk1/5ppp/4p3/4N3/8/1Pn5/5PPP/5RK1 w - - 0 28,f1c1 c3e2 g1f1 e2c1,698,82,100,98,endgame fork,https://lichess.org/2K7g2pDT#55,
002vV,8/6k1/2R4p/5p1P/5P1K/6P1/8/r7 w - - 2 58,c6b6 a1h1,459,93,100,224,endgame mate,https://lichess.org/KB7FAntf#115,
004mT,5Q2/8/1b1kp1p1/5p2/3p4/5qPK/7P/8 b - - 1 51,d6c6 f8a8 c6d6 a8f3,1444,75,100,4130,endgame,https://lichess.org/Jqhi4ozb/black#102,
005YX,2rr4/2N2pk1/p1Q1b1pp/1p4q1/3pP3/1B1P4/PPP3PP/6RK w - - 7 25,c7e6 f7e6 c6b7 g7h8,1552,256,100,14,defensiveMove,https://lichess.org/zbi5w5Qy#49,
006x0,3Q4/5kr1/8/1P2pB2/2Pp1n2/q2P3P/7K/5R2 w - - 7 49,d8d7 f7f6 d7d8 f6f5,1315,160,100,22,defensiveMove endgame,https://lichess.org/yJzYpNj0#97,
0071K,3N1r2/6R1/kp6/p2pPp1Q/2pP2P1/2q5/2P5/2K5 w - - 0 38,g7a7 a6a7 h5h7 a7a6,909,77,100,242,defensiveMove endgame,https://lichess.org/gY0ZkxR4#75,
007en,rn3rk1/4pp1p/3p2pB/2q4P/3bP1b1/Pp2Q3/1P2B3/1K1R2NR w - - 0 20,e3d4 c5c2 b1a1 a8a3 b2a3 c2a2,1972,75,100,126,mate,https://lichess.org/jzE2yKAk#39,
00AfZ,2r3kR/Q7/5q2/1brpN3/5Pp1/4P1P1/6K1/1B6 b - - 2 43,f6h8 a7f7,895,76,100,78,mate,https://lichess.org/xSsuq2RP/black#86,
00BQD,4r3/3R1pkp/6p1/1P6/1b6/5B2/1P1p1PPP/3R2K1 w - - 0 36,d1d2 e8e1,874,80,100,66,endgame mate,https://lichess.org/ckr8Ti7I#71,
00C8e,8/5p1k/5Ppb/2p3P1/1p6/8/KB5Q/3q4 b - - 4 58,d1a4 a2b1 a4d1 b2c1,1495,179,100,17,endgame pin,https://lichess.org/YqVcRoWF/black#116,
00CFp,rn1q3k/pp4pp/1b2B3/4N3/5r2/2p5/PP4PP/RN3Q1K w - - 0 16,f1f4 d8d1 f4f1 d1f1,448,101,100,128,kingsideAttack mate,https://lichess.org/6VajuPk6#31,Kings_Gambit_Accepted Kings_Gambit_Accepted_Kings_Knights_Gambit
00CWE,3r4/1p4p1/2pBkbBp/p1P5/3rp3/P7/1PK2P2/4R3 b - - 1 31,e6d5 g6f7,1436,74,100,545,endgame mate,https://lichess.org/VCQ4NAd0/black#62,
00DPI,3r2k1/1B3p1p/6p1/3N4/3p2P1/6r1/5KP1/3R4 b - - 5 35,g3g4 d5f6 g8g7 f6g4,919,77,100,365,endgame fork,https://lichess.org/Wjj7mxD9/black#70,
00Dw8,8/2p1N1p1/3r3p/6k1/3p4/6P1/6KP/3R4 w - - 0 42,h2h4 g5f6,1884,133,100,18,defensiveMove endgame,https://lichess.org/dlF3OKdi#83,
00E29,r1bq1rk1/4bppp/p1n5/3P4/Pp6/3B1N2/1B3PPP/R2Q1RK1 b - - 0 17,d8d5 d3h7 g8h7 d1d5,976,76,100,179,discoveredAttack kingsideAttack,https://lichess.org/tWRCApub/black#34,Sicilian_Defense Sicilian_Defense_Old_Sicilian
00EWi,8/8/1R3pkp/1pP5/1P3PKP/r7/8/8 w - - 2 48,b6b5 f6f5,967,76,100,192,endgame mate,https://lichess.org/RxrVCbwq#95,
00F1l,8/2k1b3/5p2/RBpK1Pp1/Pp1p2P1/3P4/2r5/8 b - - 2 45,b4b3 a5a7 c7b8 a7e7,805,79,100,75,endgame,https://lichess.org/By9yxCU0/black#90,
00FAe,5Rbk/6pp/8/p3P3/Pp1pq3/8/1P4PP/3Q2K1 w - - 1 35,d1b3 e4e1 f8f1 e1f1 g1f1 g8b3,1585,76,100,121,endgame,https://lichess.org/EvpVpm3n#69,
00G81,3r4/5k2/p4Pp1/2pK2Pp/2R5/P7/8/8 w - - 7 51,d5c5 d8c8 c5d4 c8c4 d4c4 h5h4,1548,75,100,462,defensiveMove endgame,https://lichess.org/Q8HZlLcF#101,
00GoO,r1b2rk1/ppb5/2p4p/2Ppqpp1/1P6/2N1P3/P3BPPP/2RQ1RK1 w - - 0 16,e2d3 e5h2,899,86,100,46,kingsideAttack mate,https://lichess.org/sf8dREp6#31,Dutch_Defense Dutch_Defense_Normal_Variation
00HIV,8/8/1p1k1n1p/4p3/1PP2pp1/3K4/3N1PPP/8 b - - 3 37,h6h5 d2e4 f6e4 d3e4,628,79,100,415,endgame,https://lichess.org/1mef1VFJ/black#74,
00Hk4,5rk1/p4ppp/4p3/1Q6/1P1BN1b1/8/Pq3PPP/R1r1KB1R w KQ - 2 18,a1c1 b2c1,573,83,100,172,mate,https://lichess.org/gpoTbULY#35,Scandinavian_Defense Scandinavian_Defense_Modern_Variation
00HnR,q5kr/p4p2/3Bb1p1/4p2p/5n2/2P5/P1Q2PPP/3R1RK1 w - - 4 21,d6e5 a8g2,729,76,100,247,mate,https://lichess.org/Iva57KFW#41,
00JET,3r2k1/5ppp/3Rp3/8/8/8/1P3PPP/2R3K1 b - - 0 34,d8d6 c1c8 d6d8 c8d8,994,176,100,13,endgame mate,https://lichess.org/O8W3yIa7/black#68,
00K48,6Qk/6pp/p2B4/2pP4/P1q5/6P1/2P1p2P/5RK1 b - - 0 26,h8g8 f1f8,435,102,100,232,endgame mate,https://lichess.org/vGu9FCAH/black#52,
00KHR,8/6pk/1Q1p2n1/4p3/2P3P1/P2PP2P/1B4K1/4q3 w - - 1 35,g2f3 g6h4 f3e4 e1h1,1288,76,100,100,endgame mate,https://lichess.org/m54DAZPv#69,
00KgR,5r1k/1pq3p1/2p2P1p/3pPQ2/1p1P4/7P/1rB4K/5R2 b - - 1 35,f8f6 f5h7,789,75,100,231,endgame mate,https://lichess.org/8f0kmTFT/black#70,
00Lo9,5k2/8/4p3/3p2p1/p1pQ2P1/P1P2q2/1PB5/7K w - - 0 42,h1h2 f3e2 h2g3 e2c2,1414,237,100,9,endgame fork,https://lichess.org/oAKhM88Y#83,
